axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
cell_death,positive,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,3,1.241652941618575,0.033396660333966606,333,0.17616799302219902,0.5749562817119804,0.08587712657305699,False,False
cell_death,positive,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,3,0.8273944904153188,0.10548945105489452,1054,0.16996604451709318,0.570138639018988,0.1932823666785864,False,False
n_stress,positive,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,5,-1.0651242860190562,0.008399160083991601,83,-0.0007965605520220826,0.4538081991283912,0.03167683231676833,True,False
n_stress,positive,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,5,-1.249832902830734,0.0031996800319968005,31,-0.0022284404260124136,0.4437418113510533,0.015024584498071931,True,False
n_stress,positive,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,5,-1.7615030988942475,9.999000099990002e-05,0,0.005649710303721071,0.44741602074265746,0.00071992800719928,True,True
n_stress,positive,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,5,-0.8904977266188175,0.027497250274972504,274,-0.005182030131952194,0.4492984708840649,0.07697691769284609,False,False
n_stress,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,28,-0.3187163284929455,0.037396260373962605,373,0.007402244311112787,0.18805272178159627,0.09179082091790822,False,False
n_stress,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,28,-0.2277984964010511,0.10188981101889812,1018,0.0075148343303498965,0.19077215719423163,0.19305437877264905,False,False
n_stress,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,28,-0.3977787259398387,0.015398460153984602,153,0.008343419380043592,0.19118965875636332,0.04751524847515248,True,False
n_stress,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,28,0.0481946121474754,0.39816018398160186,3981,4.9980581943939305e-05,0.19090086590680294,0.43001299870013,False,False
oxidative,positive,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,5,0.3526135073579017,0.20937906209379062,2093,0.03177448255549277,0.45153935873050366,0.28266173382661736,False,False
oxidative,positive,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,5,0.2816098452657405,0.2860713928607139,2860,0.0595594943821402,0.4483910664909424,0.339513301417111,False,False
oxidative,positive,rnaseq_coculture,coculture,RNASEQ,day 60,1440.0,nutrient_limited,5,0.2427873138761087,0.32266773322667736,3226,0.05486098564905986,0.4538320162765065,0.3747109160051737,False,False
oxidative,positive,rnaseq_coculture,coculture,RNASEQ,day 18,432.0,nutrient_limited,5,0.4959210589506604,0.1456854314568543,1456,0.0560428567398559,0.44455041231719905,0.23805977611194104,False,False
oxidative,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,25,-0.025801729021479,0.46035396460353967,4603,0.0006033855082198185,0.20227307946092646,0.4714849269790002,False,False
oxidative,cyanorak,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,25,0.1544473710395771,0.2161783821617838,2161,-0.0031328812805143658,0.20325194442488353,0.2847227472374714,False,False
