locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM1396,hli,up,core,48h,24.0,99,12h,11.0,22,11.0,high light inducible protein,Stress response and adaptation
PMM0684,,up,core,48h,11.0,29,24h,27.0,55,11.0,conserved hypothetical protein (DUF1651),Unknown
PMM1397,hli,up,core,48h,20.0,93,24h,12.0,26,12.0,high light inducible protein,Stress response and adaptation
PMM0552,csoS2,down,core,6h,12.0,37,12h,85.0,183,12.0,carboxysome shell protein CsoS2,Photosynthesis
PMM0785,prkB,down,core,48h,26.0,67,24h,12.0,17,12.0,phosphoribulokinase,Carbohydrate metabolism
PMM1523,psaB,down,core,48h,12.0,49,24h,136.0,277,12.0,photosystem I core protein PsaB,Photosynthesis
PMM1519,psaL,down,core,48h,13.0,50,24h,105.0,200,13.0,photosystem I reaction centre subunit XI,Stress response and adaptation
PMM1556,rplW,down,core,12h,13.0,22,12h,91.0,181,13.0,50S ribosomal protein L23,Translation
PMM1507,rpsJ,down,core,24h,14.0,38,24h,103.0,198,14.0,30S ribosomal protein S10,Translation
PMM0876,,down,core,24h,125.0,300,12h,14.0,28,14.0,conserved hypothetical protein,Unknown
PMM1134,,up,core,24h,14.0,37,24h,46.0,95,14.0,conserved hypothetical protein (DUF1651),Unknown
PMM1457,atp1,down,core,12h,14.0,23,24h,21.0,39,14.0,ATP synthase protein I,Photosynthesis
PMM1700,acnB,up,core,24h,38.0,100,24h,15.0,33,15.0,aconitate hydratase 2 / 2-methylisocitrate dehydratase,Carbohydrate metabolism
PMM0710,pstS,down,core,48h,15.0,56,24h,15.0,24,15.0,"phosphate ABC transporter, phosphate-binding protein PstS",Stress response and adaptation
PMM1385,hli,up,core,48h,44.0,163,12h,15.0,31,15.0,high light inducible protein,Stress response and adaptation
PMM0605,,down,core,24h,90.0,206,12h,16.0,28,16.0,conserved hypothetical protein (DUF760),Stress response and adaptation
PMM1554,rpsS,down,core,12h,16.0,27,12h,78.0,171,16.0,30S ribosomal protein S19,Translation
PMM1350,,down,core,48h,32.0,115,24h,16.0,26,16.0,pentapeptide repeats family protein,Unknown
PMM0971,urtB,up,core,6h,16.0,34,12h,68.0,131,16.0,"ABC-type urea transporter, permease component",Stress response and adaptation
PMM0548,rdgB,up,core,48h,16.0,77,24h,42.0,88,16.0,dITP/XTP pyrophosphatase,Nucleotide metabolism
PMM1262,lexA,up,core,24h,17.0,61,24h,91.0,196,17.0,SOS-response transcriptional repressor,Regulatory functions
PMM0540,psaM,down,core,48h,17.0,41,24h,22.0,42,17.0,photosystem I reaction centre subunit XII,Stress response and adaptation
PMM0371,cynB,up,core,6h,17.0,35,24h,52.0,112,17.0,"cyanate ABC transporter, permease protein",Central intermediary metabolism
PMM0817,hli,up,core,48h,21.0,94,24h,18.0,37,18.0,high light inducible protein,Stress response and adaptation
PMM0306,cpeS,down,core,12h,85.0,144,24h,18.0,32,18.0,phycoerythrobilin:Cys-82 beta-phycoerythrin lyase,Photosynthesis
PMM1562,recA,up,core,48h,18.0,86,24h,28.0,56,18.0,recombinase A,Replication and repair
PMM1553,rplV,down,core,6h,18.0,34,12h,69.0,138,18.0,50S ribosomal protein L22,Translation
PMM1375,,down,core,24h,62.0,142,12h,18.0,33,18.0,possible M protein repeat,Unknown
PMM1074,zwf,up,core,6h,18.0,36,12h,60.0,112,18.0,glucose-6-phosphate 1-dehydrogenase,Carbohydrate metabolism
PMM0781,fbaA,down,core,24h,19.0,52,12h,116.0,272,19.0,"fructose-1,6-bisphosphate aldolase, class II",Carbohydrate metabolism
PMM0726,,up,core,24h,36.0,190,24h,19.0,40,19.0,uncharacterized conserved secreted protein,Unknown
PMM1672,desC4,up,core,48h,19.0,90,24h,90.0,190,19.0,delta-9 fatty-acid desaturase DesC4,Stress response and adaptation
PMM1402,,down,core,12h,19.0,33,12h,104.0,239,19.0,conserved hypothetical protein,Unknown
PMM0469,psaF,down,core,48h,19.0,74,24h,32.0,61,19.0,photosystem I reaction centre PsaF protein,Photosynthesis
PMM0996,,up,core,6h,55.0,140,12h,19.0,38,19.0,conserved hypothetical protein (DUF3303),Stress response and adaptation
PMM1298,lpdA,down,core,6h,24.0,56,12h,19.0,36,19.0,dihydrolipoamide dehydrogenase,Amino acid metabolism
PMM0599,,down,core,24h,72.0,165,24h,20.0,38,20.0,Conserved hypothetical protein,Unknown
PMM0087,,up,core,24h,20.0,71,24h,23.0,47,20.0,conserved hypothetical protein,Unknown
PMM0468,psaJ,down,core,48h,21.0,80,12h,20.0,41,20.0,photosystem I reaction centre subunit IX,Photosynthesis
PMM1384,hli,up,core,48h,23.0,98,12h,21.0,40,21.0,high light inducible protein,Stress response and adaptation
PMM1552,rpsC,down,core,12h,21.0,36,24h,66.0,122,21.0,30S ribosomal protein S3,Translation
PMM0363,,up,core,12h,21.0,62,24h,109.0,255,21.0,"transcriptional regulator, MarR family",Regulatory functions
PMM0965,ureA,up,core,6h,21.0,57,24h,37.0,77,21.0,urease gamma subunit,Stress response and adaptation
PMM1623,ssb,up,core,24h,21.0,85,12h,25.0,49,21.0,single-stranded DNA-binding protein,Replication and repair
PMM0810,,up,core,6h,22.0,61,12h,88.0,215,22.0,conserved hypothetical protein,Unknown
PMM1511,rpsL,down,core,12h,96.0,174,12h,22.0,46,22.0,30S ribosomal protein S12,Translation
PMM0767,fbp-sbp,down,core,24h,22.0,58,12h,126.0,301,22.0,"bifunctional fructose-1,6-biphosphatase/sedoheptulose1,7-biphosphate phosphatase",Photosynthesis
PMM0314,psbT,down,core,48h,23.0,85,12h,108.0,253,23.0,photosystem II reaction center T protein,Photosynthesis
PMM0364,,up,core,6h,34.0,87,12h,23.0,44,23.0,conserved hypothetical protein (DUF3303),Unknown
PMM0307,unk6,down,core,24h,23.0,47,24h,26.0,51,23.0,conserved hypothetical protein,Unknown
PMM1555,rplB,down,core,6h,23.0,45,12h,58.0,123,23.0,50S ribosomal protein L2,Translation
PMM0491,phhB,up,core,6h,86.0,255,12h,24.0,45,24.0,pterin-4-alpha-carbinolamine dehydratase,Carbohydrate metabolism
PMM0987,rpsU,down,core,24h,114.0,271,24h,24.0,44,24.0,30S ribosomal protein S21,Translation
PMM1456,atpI,down,core,12h,24.0,42,24h,82.0,155,24.0,ATP synthase A chain,Photosynthesis
PMM0766,rpe,down,core,24h,25.0,66,24h,75.0,140,25.0,ribulose-phosphate 3-epimerase,Carbohydrate metabolism
PMM0245,cobO2,up,core,24h,25.0,95,24h,115.0,273,25.0,cob(I)alamin adenosyltransferase,Coenzyme metabolism
PMM1608,acpP,down,core,24h,92.0,208,24h,25.0,50,25.0,acyl-carrier protein,Lipid metabolism
PMM1545,rpsH,down,core,6h,27.0,62,12h,82.0,176,27.0,30S ribosomal protein S8,Translation
