strain,organism_name_kg,locus_tag,gene_name,product,gene_category,term_id
Synechococcus CC9311,Synechococcus CC9311,sync_2898,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2901,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2903,cynH,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06829,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06834,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06849,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06854,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06859,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06869,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06874,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06899,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06904,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06914,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06954,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06959,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06964,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06969,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06974,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06979,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06984,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06989,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06994,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06999,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07004,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07009,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07964,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_08289,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_08711,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_16790,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_05259,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06819,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06834,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06849,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06854,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06859,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06869,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06874,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06894,narM,nitrate reductase associated protein,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06899,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06904,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06909,mobA,molybdenum cofactor guanylyltransferase,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06914,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06954,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06959,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06964,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06969,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06974,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06979,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06984,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06989,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06994,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_06999,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07004,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07009,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07294,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_07964,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_08289,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_08711,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_12350,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_13740,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_14720,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_15740,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_15745,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_15750,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_16790,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Synechococcus sp. BL107,Synechococcus sp. BL107,BL107_RS12100,cynH,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
