priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
2,False,other,1,1,SynWH7803_0353,syn,57,1987,Nucleotide sequence of the gene from the cyanobacterium Anacystis nidulans R2 encoding the Mn-stabilizing protein involved in photosystem II water oxidation,10.1073/pnas.84.23.8230,PMC299515,,Synechococcus,"Kuwabara, Proceedings of the National Academy of Sciences of the United States of America 1987"
2,False,other,1,1,PMT9312_0549,pro,54,2023,Self-Assembly of Nanofilaments in Cyanobacteria for Protein Co-localization,10.1021/acsnano.3c08600,PMC10754207,,Synechococcus;Synechocystis,"Zedler, ACS nano 2023"
2,False,other,1,1,PMT9312_0549,pro,54,2024,sll1019 and slr1259 encoding glyoxalase II improve tolerance of Synechocystis sp. PCC 6803 to methylglyoxal- and ethanol- induced oxidative stress by glyoxalase pathway,10.1128/aem.00564-24,PMC11577758,,Synechocystis,"Ji, Applied and environmental microbiology 2024"
2,False,other,1,1,PMT9312_0549,pro,54,2013,Role of polyphosphate in thermophilic Synechococcus sp. from microbial mats,10.1128/jb.00207-13,PMC3719534,,Synechococcus,"Gomez-Garcia, Journal of bacteriology 2013"
2,False,other,1,1,PMT9312_0549,pro,54,2017,Systematic and functional identification of small non-coding RNAs associated with exogenous biofuel stress in cyanobacterium Synechocystis sp. PCC 6803,10.1186/s13068-017-0743-y,PMC5341163,,Synechocystis,"Pei, Biotechnology for biofuels 2017"
2,False,other,1,1,PMT9312_0549,pro,54,2017,Spontaneous non-canonical assembly of CcmK hexameric components from β-carboxysome shells of cyanobacteria,10.1371/journal.pone.0185109,PMC5608322,,Synechococcus;Synechocystis,"Garcia-Alles, PloS one 2017"
2,False,other,1,1,PMT9312_0549,pro,54,2020,Proteomic Insights into Starvation of Nitrogen-Replete Cells of Nostoc sp. PCC 7120 under β-N-Methylamino-L-Alanine (BMAA) Treatment,10.3390/toxins12060372,PMC7354497,,Nostoc,"Koksharova, Toxins 2020"
2,False,other,1,1,PMT9312_0549,pro,54,2020,A Genetic Toolbox for the New Model Cyanobacterium Cyanothece PCC 7425: A Case Study for the Photosynthetic Production of Limonene,10.3389/fmicb.2020.586601,PMC7530172,,Thermosynechococcus,"Chenebault, Frontiers in microbiology 2020"
2,False,other,1,1,PMT9312_0549,pro,54,2022,The effects of secondary bacterial metabolites on photosynthesis in microalgae cells,10.1007/s12551-022-00981-3,PMC9481811,,Nostoc,"Koksharova, Biophysical reviews 2022"
2,False,other,1,1,PMT9312_0549,pro,53,2024,Integration of horizontally acquired light-harvesting genes into an ancestral regulatory network in the cyanobacterium Acaryochloris marina MBIC11017,10.1128/mbio.02423-24,PMC11633204,,Acaryochloris,"Ulrich, mBio 2024"
2,False,other,1,1,BL107_11441,syn,52,2024,CyAbrB2 is a nucleoid-associated protein in Synechocystis controlling hydrogenase expression during fermentation,10.7554/elife.94245,PMC11368403,,Synechocystis,"Kariyazono, eLife 2024"
2,False,other,1,1,PMT9312_0549,pro,52,2008,Global transcriptional response of the alkali-tolerant cyanobacterium Synechocystis sp. strain PCC 6803 to a pH 10 environment,10.1128/aem.00883-08,PMC2546634,,Synechocystis,"Summerfield, Applied and environmental microbiology 2008"
2,False,other,1,1,PMT9312_0549,pro,52,2012,"Structural determinants of the outer shell of β-carboxysomes in Synechococcus elongatus PCC 7942: roles for CcmK2, K3-K4, CcmO, and CcmL",10.1371/journal.pone.0043871,PMC3425506,,Synechocystis,"Rae, PloS one 2012"
2,False,other,1,1,PMT9312_0549,pro,52,2016,Insights into isoprene production using the cyanobacterium Synechocystis sp. PCC 6803,10.1186/s13068-016-0503-4,PMC4836186,,Synechocystis,"Pade, Biotechnology for biofuels 2016"
2,False,other,1,1,PMT9312_0549,pro,52,2017,Exploring Components of the CO2-Concentrating Mechanism in Alkaliphilic Cyanobacteria Through Genome-Based Analysis,10.1016/j.csbj.2017.05.001,PMC5472144,,Synechocystis,"Klanchui, Computational and structural biotechnology journal 2017"
2,False,other,1,1,BL107_11441,syn,52,2020,Transcriptome Analysis Reveals IsiA-Regulatory Mechanisms Underlying Iron Depletion and Oxidative-Stress Acclimation in Synechocystis sp. Strain PCC 6803,10.1128/aem.00517-20,PMC7301839,,Synechocystis,"Cheng, Applied and environmental microbiology 2020"
2,False,other,1,1,BL107_11441,syn,52,2020,Structural Determinants and Their Role in Cyanobacterial Morphogenesis,10.3390/life10120355,PMC7766704,,Synechocystis,"Springstein, Life (Basel, Switzerland) 2020"
2,False,other,1,1,BL107_11441,syn,52,2020,Carbon/nitrogen homeostasis control in cyanobacteria,10.1093/femsre/fuz025,PMC8042125,,Synechocystis,"Forchhammer, FEMS microbiology reviews 2020"
2,False,other,1,1,BL107_11441,syn,52,2022,Expression of the Cyanobacterial F<sub>o</sub>F<sub>1</sub> ATP Synthase Regulator AtpΘ Depends on Small DNA-Binding Proteins and Differential mRNA Stability,10.1128/spectrum.02562-21,PMC9241938,,Synechocystis,"Song, Microbiology spectrum 2022"
