locus_tag,term_id,term_name
PMM0271,go:0042455,ribonucleoside biosynthetic process
PMM0272,go:0015979,photosynthesis
PMM0273,go:0008152,metabolic process
PMM0275,go:0009116,nucleoside metabolic process
PMM0275,go:0009220,pyrimidine ribonucleotide biosynthetic process
PMM0275,go:0019856,pyrimidine nucleobase biosynthetic process
PMM0275,go:0044205,^de novo^ UMP biosynthetic process
PMM0276,go:0016226,iron-sulfur cluster assembly
PMM0278,go:0005975,carbohydrate metabolic process
PMM0278,go:0006166,purine ribonucleoside salvage
PMM0279,go:0006281,DNA repair
PMM0279,go:0009143,nucleoside triphosphate catabolic process
PMM0279,go:0034404,nucleobase-containing small molecule biosynthetic process
PMM0280,go:0006720,isoprenoid metabolic process
PMM0281,go:0000105,L-histidine biosynthetic process
PMM0281,go:1901607,alpha-amino acid biosynthetic process
PMM0282,go:0030497,fatty acid elongation
PMM0282,go:0051289,protein homotetramerization
PMM0283,go:0045454,cell redox homeostasis
PMM0284,go:0000271,polysaccharide biosynthetic process
PMM0285,go:0000719,photoreactive repair
PMM0285,go:0006139,nucleobase-containing compound metabolic process
PMM0285,go:0006281,DNA repair
PMM0285,go:0006950,response to stress
PMM0285,go:0009416,response to light stimulus
PMM0286,go:0009132,nucleoside diphosphate metabolic process
PMM0286,go:0019693,ribose phosphate metabolic process
PMM0287,go:0046654,tetrahydrofolate biosynthetic process
PMM0287,go:0046656,folic acid biosynthetic process
PMM0288,go:0015995,chlorophyll biosynthetic process
PMM0289,go:0015914,phospholipid transport
PMM0292,go:0042773,ATP synthesis coupled electron transport
PMM0292,go:0045333,cellular respiration
PMM0293,go:0042773,ATP synthesis coupled electron transport
PMM0294,go:0008150,biological_process
PMM0294,go:0008152,metabolic process
PMM0294,go:0042773,ATP synthesis coupled electron transport
PMM0295,go:0043448,alkane catabolic process
PMM0297,go:0009767,photosynthetic electron transport chain
PMM0298,go:0009767,photosynthetic electron transport chain
PMM0299,go:0015979,photosynthesis
PMM0300,go:0015979,photosynthesis
PMM0301,go:0006168,adenine salvage
PMM0301,go:0019509,L-methionine salvage from methylthioadenosine
PMM0302,go:0001887,selenium compound metabolic process
PMM0303,go:0008033,tRNA processing
PMM0304,go:0000725,recombinational repair
PMM0304,go:0009314,response to radiation
PMM0305,go:0016038,absorption of visible light
PMM0306,go:0017009,protein-phycocyanobilin linkage
PMM0310,go:0005997,xylulose metabolic process
PMM0310,go:0046835,carbohydrate phosphorylation
PMM0311,go:0006556,S-adenosylmethionine biosynthetic process
PMM0312,go:0006412,translation
PMM0313,go:0006355,regulation of DNA-templated transcription
PMM0314,go:0015979,photosynthesis
PMM0315,go:0009769,"photosynthesis, light harvesting in photosystem II"
PMM0315,go:0009772,photosynthetic electron transport in photosystem II
PMM0315,go:0019684,"photosynthesis, light reaction"
PMM0316,go:0006810,transport
PMM0316,go:0140647,P450-containing electron transport chain
PMM0317,go:0015979,photosynthesis
PMM0318,go:0006412,translation
PMM0318,go:0008150,biological_process
PMM0318,go:0018364,peptidyl-glutamine methylation
PMM0318,go:0032259,methylation
PMM0319,go:0006364,rRNA processing
PMM0319,go:0006450,regulation of translational fidelity
PMM0319,go:0008033,tRNA processing
PMM0320,go:0000917,division septum assembly
PMM0320,go:0032955,regulation of division septum assembly
PMM0320,go:0043093,FtsZ-dependent cytokinesis
PMM0320,go:0051301,cell division
PMM0321,go:0000918,division septum site selection
PMM0321,go:0043093,FtsZ-dependent cytokinesis
PMM0321,go:0051179,localization
PMM0321,go:0051782,negative regulation of cell division
PMM0321,go:0061640,cytoskeleton-dependent cytokinesis
PMM0322,go:0000902,cell morphogenesis
PMM0322,go:0000917,division septum assembly
PMM0322,go:0043093,FtsZ-dependent cytokinesis
PMM0323,go:0006203,dGTP catabolic process
PMM0324,go:0006508,proteolysis
PMM0324,go:0007165,signal transduction
