experiment_id,organism,genus,omics_type,locus_tag,gene_name,product,gene_category,best_rank,direction,log2fc,padj,timepoint
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_11425,metE,methionine synthase,Amino acid metabolism,3.0,down,-3.8985774413013696,9.91198224971047e-08,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_12890,lldP,L-lactate permease,Energy production,3.0,up,6.147476780925157,5.044330915156869e-109,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16585,rutE,malonic semialdehyde reductase,Energy production,3.0,up,5.81912614800778,2.122168994513176e-10,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_04975,flgN,flagellar export chaperone FlgN,Cell motility,5.0,down,-4.884904639836477,1.0531104833385215e-92,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_07395,fnt,formate/nitrite transporter family protein,Inorganic ion transport,5.0,up,5.621429155673404,7.7495612318831e-08,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_08480,,glutathione binding-like protein,Post-translational modification,5.0,up,5.321523991750659,1.8202643868318468e-08,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_02865,,DUF3530 family protein,Unknown,6.0,down,-4.358385075464235,6.1906950405970985e-37,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,6.0,down,-4.657708792966924,1.1245150964615847e-53,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_01825,glnK,P-II family nitrogen regulator,Transcription,7.0,up,5.384504757584833,0.000147340402248,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,Cell motility,7.0,down,-4.410744593117942,1.320901320501392e-39,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_12900,,DcaP family trimeric outer membrane transporter,Cell wall and membrane,7.0,up,5.518456273666017,1.6757233589411084e-30,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16580,rutF,flavin reductase,Energy production,7.0,up,5.193365540102114,5.8051972461218175e-08,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_11250,msrQ,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,Energy production,8.0,down,-4.287203553849241,4.422416392085183e-19,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16910,ankB,ankyrin repeat domain-containing protein,Unknown,1.0,down,-6.181810469135925,0.0001733828367871,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_17120,,hypothetical protein,Unknown,1.0,up,4.390255739065504,9.040055274835459e-11,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_08845,ahpF,alkyl hydroperoxide reductase subunit F,Post-translational modification,2.0,down,-4.448881525355577,0.0007527643748369,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16915,katB,catalase,Energy production,2.0,down,-9.843975954186185,7.746905894809199e-16,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_19450,,C1 family peptidase,Post-translational modification,2.0,up,3.460195430890153,0.000160353893034,day 18
